"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-20
"20 - 24",4,1,114,2,121,2022-10-20
"25 - 29",2,1,193,12,208,2022-10-20
"30 - 34",2,1,328,14,345,2022-10-20
"35 - 39",4,2,408,26,440,2022-10-20
"40 - 44",4,1,519,52,576,2022-10-20
"45 - 49",4,4,902,96,1006,2022-10-20
"50 - 54",11,4,1427,219,1661,2022-10-20
"55 - 59",11,4,1937,383,2335,2022-10-20
"60 - 64",11,9,2104,684,2808,2022-10-20
"65 - 69",26,7,2070,1032,3135,2022-10-20
"70 - 74",19,13,1825,1357,3214,2022-10-20
"75 - 79",14,7,1006,969,1996,2022-10-20
"80 - 84",13,3,260,321,597,2022-10-20
"85 - 89",6,1,56,59,122,2022-10-20
">90",0,0,13,9,22,2022-10-20
