"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,56,7,65,2022-11-21
"20 - 24",4,1,116,3,124,2022-11-21
"25 - 29",2,0,194,13,209,2022-11-21
"30 - 34",3,0,330,14,347,2022-11-21
"35 - 39",3,3,412,26,444,2022-11-21
"40 - 44",2,0,527,52,581,2022-11-21
"45 - 49",3,0,907,98,1008,2022-11-21
"50 - 54",9,0,1438,221,1668,2022-11-21
"55 - 59",13,5,1942,386,2346,2022-11-21
"60 - 64",14,5,2121,687,2827,2022-11-21
"65 - 69",22,8,2093,1041,3164,2022-11-21
"70 - 74",19,9,1846,1372,3246,2022-11-21
"75 - 79",17,6,1018,980,2021,2022-11-21
"80 - 84",12,3,274,323,612,2022-11-21
"85 - 89",3,1,60,62,126,2022-11-21
">90",0,0,13,9,22,2022-11-21
