"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-09
"20 - 24",3,1,61,0,65,2021-10-09
"25 - 29",6,4,118,7,135,2021-10-09
"30 - 34",3,1,213,7,224,2021-10-09
"35 - 39",6,7,246,17,276,2021-10-09
"40 - 44",5,10,352,32,399,2021-10-09
"45 - 49",8,4,659,70,741,2021-10-09
"50 - 54",16,15,1087,158,1276,2021-10-09
"55 - 59",17,14,1473,272,1776,2021-10-09
"60 - 64",27,14,1564,479,2084,2021-10-09
"65 - 69",11,22,1556,750,2339,2021-10-09
"70 - 74",12,24,1372,1026,2434,2021-10-09
"75 - 79",6,11,681,715,1413,2021-10-09
"80 - 84",1,3,144,235,383,2021-10-09
"85 - 89",0,0,19,40,59,2021-10-09
">90",0,0,3,2,5,2021-10-09
