"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-09-03
"20 - 24",3,0,56,0,59,2021-09-03
"25 - 29",5,4,112,7,128,2021-09-03
"30 - 34",7,10,182,7,206,2021-09-03
"35 - 39",5,10,229,15,259,2021-09-03
"40 - 44",4,11,332,30,377,2021-09-03
"45 - 49",8,15,632,67,722,2021-09-03
"50 - 54",17,25,1055,146,1243,2021-09-03
"55 - 59",10,30,1435,261,1736,2021-09-03
"60 - 64",18,37,1523,466,2044,2021-09-03
"65 - 69",9,36,1524,735,2304,2021-09-03
"70 - 74",15,17,1341,1012,2385,2021-09-03
"75 - 79",3,17,673,701,1394,2021-09-03
"80 - 84",3,2,141,229,375,2021-09-03
"85 - 89",2,0,18,38,58,2021-09-03
">90",0,0,3,2,5,2021-09-03
