"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-05-24
"20 - 24",4,0,107,0,111,2022-05-24
"25 - 29",4,0,181,11,196,2022-05-24
"30 - 34",5,1,313,13,332,2022-05-24
"35 - 39",3,1,397,26,427,2022-05-24
"40 - 44",8,1,497,48,554,2022-05-24
"45 - 49",7,1,886,92,986,2022-05-24
"50 - 54",16,2,1392,213,1623,2022-05-24
"55 - 59",29,5,1870,369,2273,2022-05-24
"60 - 64",19,7,2049,663,2738,2022-05-24
"65 - 69",30,7,2001,1005,3043,2022-05-24
"70 - 74",20,11,1745,1330,3106,2022-05-24
"75 - 79",22,1,930,942,1895,2022-05-24
"80 - 84",5,1,226,302,534,2022-05-24
"85 - 89",0,0,46,51,97,2022-05-24
">90",0,1,7,4,12,2022-05-24
