"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-09-23
"20 - 24",4,0,113,1,118,2022-09-23
"25 - 29",1,0,191,12,204,2022-09-23
"30 - 34",4,0,324,14,342,2022-09-23
"35 - 39",2,1,406,26,435,2022-09-23
"40 - 44",4,1,516,50,571,2022-09-23
"45 - 49",2,1,900,94,997,2022-09-23
"50 - 54",9,2,1423,220,1654,2022-09-23
"55 - 59",9,3,1925,382,2319,2022-09-23
"60 - 64",10,7,2092,681,2790,2022-09-23
"65 - 69",17,6,2060,1027,3110,2022-09-23
"70 - 74",12,4,1806,1348,3170,2022-09-23
"75 - 79",7,3,992,962,1964,2022-09-23
"80 - 84",8,2,250,317,577,2022-09-23
"85 - 89",3,1,53,56,113,2022-09-23
">90",0,0,10,7,17,2022-09-23
