"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,46,7,57,2022-07-11
"20 - 24",5,0,109,0,114,2022-07-11
"25 - 29",4,1,183,12,200,2022-07-11
"30 - 34",5,1,319,13,338,2022-07-11
"35 - 39",4,1,397,26,428,2022-07-11
"40 - 44",5,2,505,49,561,2022-07-11
"45 - 49",6,2,890,92,990,2022-07-11
"50 - 54",9,3,1403,214,1629,2022-07-11
"55 - 59",17,8,1897,373,2295,2022-07-11
"60 - 64",12,7,2066,673,2758,2022-07-11
"65 - 69",27,11,2025,1015,3078,2022-07-11
"70 - 74",22,7,1761,1339,3129,2022-07-11
"75 - 79",24,5,949,946,1924,2022-07-11
"80 - 84",7,6,233,308,554,2022-07-11
"85 - 89",1,0,47,54,102,2022-07-11
">90",0,0,7,5,12,2022-07-11
