"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,25,3,29,2021-09-17
"20 - 24",4,1,58,0,63,2021-09-17
"25 - 29",3,3,117,7,130,2021-09-17
"30 - 34",3,9,200,7,219,2021-09-17
"35 - 39",6,11,236,15,268,2021-09-17
"40 - 44",6,9,340,30,385,2021-09-17
"45 - 49",6,15,644,68,733,2021-09-17
"50 - 54",14,26,1069,151,1260,2021-09-17
"55 - 59",10,28,1450,266,1754,2021-09-17
"60 - 64",18,30,1542,472,2062,2021-09-17
"65 - 69",9,35,1535,743,2322,2021-09-17
"70 - 74",13,14,1355,1019,2401,2021-09-17
"75 - 79",4,13,675,709,1401,2021-09-17
"80 - 84",3,2,142,232,379,2021-09-17
"85 - 89",0,0,19,40,59,2021-09-17
">90",0,0,3,2,5,2021-09-17
