"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,49,7,59,2022-08-09
"20 - 24",4,0,111,1,116,2022-08-09
"25 - 29",2,0,187,12,201,2022-08-09
"30 - 34",4,2,325,14,345,2022-08-09
"35 - 39",3,0,404,26,433,2022-08-09
"40 - 44",6,3,510,50,569,2022-08-09
"45 - 49",3,3,895,94,995,2022-08-09
"50 - 54",6,3,1414,218,1641,2022-08-09
"55 - 59",13,4,1912,377,2306,2022-08-09
"60 - 64",12,10,2086,678,2786,2022-08-09
"65 - 69",20,6,2048,1021,3095,2022-08-09
"70 - 74",20,11,1783,1341,3155,2022-08-09
"75 - 79",19,6,973,957,1955,2022-08-09
"80 - 84",9,2,243,310,564,2022-08-09
"85 - 89",0,0,49,55,104,2022-08-09
">90",0,0,9,5,14,2022-08-09
