"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-08-31
"20 - 24",3,0,113,1,117,2022-08-31
"25 - 29",2,0,190,12,204,2022-08-31
"30 - 34",4,0,323,14,341,2022-08-31
"35 - 39",3,0,404,26,433,2022-08-31
"40 - 44",3,3,512,50,568,2022-08-31
"45 - 49",4,1,896,94,995,2022-08-31
"50 - 54",9,2,1416,218,1645,2022-08-31
"55 - 59",10,3,1922,382,2317,2022-08-31
"60 - 64",13,8,2083,681,2785,2022-08-31
"65 - 69",13,7,2055,1025,3100,2022-08-31
"70 - 74",20,6,1793,1347,3166,2022-08-31
"75 - 79",8,3,984,960,1955,2022-08-31
"80 - 84",7,2,247,312,568,2022-08-31
"85 - 89",0,0,51,55,106,2022-08-31
">90",0,0,9,7,16,2022-08-31
