"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-02-18
"20 - 24",8,2,87,0,97,2022-02-18
"25 - 29",2,4,166,11,183,2022-02-18
"30 - 34",6,2,292,11,311,2022-02-18
"35 - 39",9,2,375,23,409,2022-02-18
"40 - 44",9,8,466,42,525,2022-02-18
"45 - 49",12,9,844,86,951,2022-02-18
"50 - 54",25,11,1337,198,1571,2022-02-18
"55 - 59",41,16,1779,349,2185,2022-02-18
"60 - 64",34,32,1919,615,2600,2022-02-18
"65 - 69",40,35,1859,957,2891,2022-02-18
"70 - 74",36,21,1612,1263,2932,2022-02-18
"75 - 79",16,21,835,889,1761,2022-02-18
"80 - 84",6,6,183,277,472,2022-02-18
"85 - 89",2,0,29,48,79,2022-02-18
">90",0,0,4,3,7,2022-02-18
