"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-17
"20 - 24",2,0,120,2,124,2023-01-17
"25 - 29",0,0,197,13,210,2023-01-17
"30 - 34",3,0,332,14,349,2023-01-17
"35 - 39",2,0,421,27,450,2023-01-17
"40 - 44",0,2,531,53,586,2023-01-17
"45 - 49",2,0,917,98,1017,2023-01-17
"50 - 54",9,3,1453,229,1694,2023-01-17
"55 - 59",10,6,1965,394,2375,2023-01-17
"60 - 64",10,8,2158,691,2867,2023-01-17
"65 - 69",15,10,2136,1062,3223,2023-01-17
"70 - 74",18,11,1891,1388,3308,2023-01-17
"75 - 79",17,9,1057,997,2080,2023-01-17
"80 - 84",9,3,299,335,646,2023-01-17
"85 - 89",2,1,64,69,136,2023-01-17
">90",0,0,15,9,24,2023-01-17
