"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,42,6,50,2022-03-18
"20 - 24",5,2,99,0,106,2022-03-18
"25 - 29",4,0,174,11,189,2022-03-18
"30 - 34",5,3,305,11,324,2022-03-18
"35 - 39",4,2,387,24,417,2022-03-18
"40 - 44",5,7,480,45,537,2022-03-18
"45 - 49",10,9,860,88,967,2022-03-18
"50 - 54",20,10,1362,205,1597,2022-03-18
"55 - 59",24,11,1829,357,2221,2022-03-18
"60 - 64",27,20,1976,636,2659,2022-03-18
"65 - 69",32,29,1915,980,2956,2022-03-18
"70 - 74",31,31,1663,1286,3011,2022-03-18
"75 - 79",19,19,865,911,1814,2022-03-18
"80 - 84",4,4,196,285,489,2022-03-18
"85 - 89",0,0,32,49,81,2022-03-18
">90",0,1,3,3,7,2022-03-18
