"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-11
"20 - 24",5,1,113,2,121,2022-10-11
"25 - 29",2,2,192,12,208,2022-10-11
"30 - 34",5,0,325,14,344,2022-10-11
"35 - 39",2,0,408,26,436,2022-10-11
"40 - 44",4,1,517,51,573,2022-10-11
"45 - 49",3,1,901,95,1000,2022-10-11
"50 - 54",10,1,1426,219,1656,2022-10-11
"55 - 59",12,5,1930,382,2329,2022-10-11
"60 - 64",13,7,2099,682,2801,2022-10-11
"65 - 69",16,5,2069,1030,3120,2022-10-11
"70 - 74",17,14,1815,1350,3196,2022-10-11
"75 - 79",17,5,997,966,1985,2022-10-11
"80 - 84",10,5,258,319,592,2022-10-11
"85 - 89",3,1,54,58,116,2022-10-11
">90",1,0,11,8,20,2022-10-11
