"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,3,31,3,39,2021-12-10
"20 - 24",8,2,70,0,80,2021-12-10
"25 - 29",5,6,142,9,162,2021-12-10
"30 - 34",8,13,250,7,278,2021-12-10
"35 - 39",6,22,310,19,357,2021-12-10
"40 - 44",8,16,408,37,469,2021-12-10
"45 - 49",24,48,721,78,871,2021-12-10
"50 - 54",32,66,1186,167,1451,2021-12-10
"55 - 59",36,94,1591,294,2015,2021-12-10
"60 - 64",45,101,1702,546,2394,2021-12-10
"65 - 69",59,115,1651,842,2667,2021-12-10
"70 - 74",37,109,1453,1146,2745,2021-12-10
"75 - 79",25,52,739,806,1622,2021-12-10
"80 - 84",6,5,160,259,430,2021-12-10
"85 - 89",0,0,22,44,66,2021-12-10
">90",0,0,3,2,5,2021-12-10
