"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,37,5,44,2022-01-21
"20 - 24",2,2,80,0,84,2022-01-21
"25 - 29",4,3,158,10,175,2022-01-21
"30 - 34",3,3,289,11,306,2022-01-21
"35 - 39",4,9,360,21,394,2022-01-21
"40 - 44",6,10,454,40,510,2022-01-21
"45 - 49",18,20,807,86,931,2022-01-21
"50 - 54",28,34,1299,188,1549,2022-01-21
"55 - 59",34,38,1730,336,2138,2022-01-21
"60 - 64",42,48,1872,598,2560,2022-01-21
"65 - 69",45,44,1811,929,2829,2022-01-21
"70 - 74",25,50,1570,1240,2885,2022-01-21
"75 - 79",22,20,805,871,1718,2022-01-21
"80 - 84",6,3,174,272,455,2022-01-21
"85 - 89",0,0,27,46,73,2022-01-21
">90",1,0,3,3,7,2022-01-21
