"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-05-03
"20 - 24",4,0,107,0,111,2022-05-03
"25 - 29",4,0,178,11,193,2022-05-03
"30 - 34",8,0,311,13,332,2022-05-03
"35 - 39",3,0,395,26,424,2022-05-03
"40 - 44",10,2,494,48,554,2022-05-03
"45 - 49",8,3,881,92,984,2022-05-03
"50 - 54",18,2,1391,212,1623,2022-05-03
"55 - 59",25,8,1864,367,2264,2022-05-03
"60 - 64",23,14,2036,656,2729,2022-05-03
"65 - 69",28,14,1987,1000,3029,2022-05-03
"70 - 74",27,15,1729,1322,3093,2022-05-03
"75 - 79",25,8,914,938,1885,2022-05-03
"80 - 84",9,3,219,300,531,2022-05-03
"85 - 89",2,1,43,50,96,2022-05-03
">90",0,0,6,4,10,2022-05-03
