"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,37,5,45,2022-01-25
"20 - 24",2,3,80,0,85,2022-01-25
"25 - 29",4,3,159,10,176,2022-01-25
"30 - 34",3,3,289,11,306,2022-01-25
"35 - 39",7,5,360,21,393,2022-01-25
"40 - 44",4,11,457,40,512,2022-01-25
"45 - 49",18,18,810,86,932,2022-01-25
"50 - 54",30,28,1303,189,1550,2022-01-25
"55 - 59",36,34,1737,337,2144,2022-01-25
"60 - 64",37,43,1884,602,2566,2022-01-25
"65 - 69",41,42,1823,932,2838,2022-01-25
"70 - 74",27,44,1576,1243,2890,2022-01-25
"75 - 79",24,19,806,872,1721,2022-01-25
"80 - 84",6,3,176,273,458,2022-01-25
"85 - 89",0,1,27,46,74,2022-01-25
">90",0,0,4,3,7,2022-01-25
