"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-09-22
"20 - 24",4,0,113,1,118,2022-09-22
"25 - 29",1,0,191,12,204,2022-09-22
"30 - 34",4,0,324,14,342,2022-09-22
"35 - 39",2,1,406,26,435,2022-09-22
"40 - 44",4,1,516,50,571,2022-09-22
"45 - 49",2,1,900,94,997,2022-09-22
"50 - 54",9,2,1423,220,1654,2022-09-22
"55 - 59",9,3,1926,382,2320,2022-09-22
"60 - 64",10,7,2092,681,2790,2022-09-22
"65 - 69",18,5,2059,1027,3109,2022-09-22
"70 - 74",12,3,1807,1348,3170,2022-09-22
"75 - 79",9,2,989,962,1962,2022-09-22
"80 - 84",7,2,250,316,575,2022-09-22
"85 - 89",3,1,53,56,113,2022-09-22
">90",0,0,10,7,17,2022-09-22
