"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,6,55,2022-06-16
"20 - 24",4,0,108,0,112,2022-06-16
"25 - 29",4,1,182,11,198,2022-06-16
"30 - 34",4,0,316,13,333,2022-06-16
"35 - 39",4,1,397,26,428,2022-06-16
"40 - 44",7,0,501,48,556,2022-06-16
"45 - 49",5,1,888,92,986,2022-06-16
"50 - 54",13,2,1397,213,1625,2022-06-16
"55 - 59",21,8,1881,371,2281,2022-06-16
"60 - 64",12,6,2058,665,2741,2022-06-16
"65 - 69",26,8,2013,1008,3055,2022-06-16
"70 - 74",15,3,1755,1336,3109,2022-06-16
"75 - 79",19,2,940,942,1903,2022-06-16
"80 - 84",4,4,228,303,539,2022-06-16
"85 - 89",1,0,46,53,100,2022-06-16
">90",0,0,7,5,12,2022-06-16
