"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,22,3,27,2021-08-10
"20 - 24",7,2,49,0,58,2021-08-10
"25 - 29",2,5,101,7,115,2021-08-10
"30 - 34",4,7,170,6,187,2021-08-10
"35 - 39",4,15,207,14,240,2021-08-10
"40 - 44",7,10,315,27,359,2021-08-10
"45 - 49",14,16,600,66,696,2021-08-10
"50 - 54",24,23,1013,143,1203,2021-08-10
"55 - 59",14,21,1401,256,1692,2021-08-10
"60 - 64",14,31,1497,454,1996,2021-08-10
"65 - 69",11,35,1497,722,2265,2021-08-10
"70 - 74",15,23,1322,995,2355,2021-08-10
"75 - 79",9,19,657,689,1374,2021-08-10
"80 - 84",1,2,139,227,369,2021-08-10
"85 - 89",1,0,17,38,56,2021-08-10
">90",0,0,3,2,5,2021-08-10
