"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,21,3,27,2021-07-27
"20 - 24",3,0,49,0,52,2021-07-27
"25 - 29",3,2,96,7,108,2021-07-27
"30 - 34",2,3,168,6,179,2021-07-27
"35 - 39",2,11,198,14,225,2021-07-27
"40 - 44",5,14,301,27,347,2021-07-27
"45 - 49",3,15,588,65,671,2021-07-27
"50 - 54",17,20,1001,142,1180,2021-07-27
"55 - 59",10,15,1386,252,1663,2021-07-27
"60 - 64",13,19,1484,454,1970,2021-07-27
"65 - 69",6,28,1486,721,2241,2021-07-27
"70 - 74",10,12,1324,994,2340,2021-07-27
"75 - 79",6,9,657,686,1358,2021-07-27
"80 - 84",2,0,139,228,369,2021-07-27
"85 - 89",0,1,17,37,55,2021-07-27
">90",0,0,4,2,6,2021-07-27
