"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,62,8,70,2023-01-03
"20 - 24",2,0,120,2,124,2023-01-03
"25 - 29",0,0,196,13,209,2023-01-03
"30 - 34",2,1,332,14,349,2023-01-03
"35 - 39",4,1,418,26,449,2023-01-03
"40 - 44",0,3,529,53,585,2023-01-03
"45 - 49",2,1,914,97,1014,2023-01-03
"50 - 54",10,1,1448,226,1685,2023-01-03
"55 - 59",8,7,1963,392,2370,2023-01-03
"60 - 64",15,8,2145,690,2858,2023-01-03
"65 - 69",12,11,2125,1056,3204,2023-01-03
"70 - 74",10,13,1881,1380,3284,2023-01-03
"75 - 79",15,15,1046,993,2069,2023-01-03
"80 - 84",9,2,295,334,640,2023-01-03
"85 - 89",2,1,64,64,131,2023-01-03
">90",0,0,15,9,24,2023-01-03
