"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,59,7,67,2022-12-22
"20 - 24",4,0,117,2,123,2022-12-22
"25 - 29",1,0,195,13,209,2022-12-22
"30 - 34",3,1,330,14,348,2022-12-22
"35 - 39",3,1,417,26,447,2022-12-22
"40 - 44",2,1,527,53,583,2022-12-22
"45 - 49",4,2,911,97,1014,2022-12-22
"50 - 54",8,4,1444,225,1681,2022-12-22
"55 - 59",9,5,1955,391,2360,2022-12-22
"60 - 64",11,8,2139,689,2847,2022-12-22
"65 - 69",19,4,2111,1055,3189,2022-12-22
"70 - 74",13,11,1866,1378,3268,2022-12-22
"75 - 79",15,7,1038,990,2050,2022-12-22
"80 - 84",13,2,285,329,629,2022-12-22
"85 - 89",5,1,61,62,129,2022-12-22
">90",0,0,15,9,24,2022-12-22
