"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,4,28,4,37,2021-11-29
"20 - 24",5,4,66,0,75,2021-11-29
"25 - 29",6,4,136,8,154,2021-11-29
"30 - 34",9,12,235,7,263,2021-11-29
"35 - 39",11,16,290,19,336,2021-11-29
"40 - 44",14,15,389,34,452,2021-11-29
"45 - 49",18,30,700,74,822,2021-11-29
"50 - 54",31,50,1145,164,1390,2021-11-29
"55 - 59",38,67,1540,286,1931,2021-11-29
"60 - 64",42,102,1646,524,2314,2021-11-29
"65 - 69",33,105,1626,819,2583,2021-11-29
"70 - 74",25,96,1426,1109,2656,2021-11-29
"75 - 79",24,54,714,771,1563,2021-11-29
"80 - 84",9,4,157,254,424,2021-11-29
"85 - 89",1,0,20,44,65,2021-11-29
">90",0,0,3,2,5,2021-11-29
