"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,31,3,40,2021-12-11
"20 - 24",8,2,70,0,80,2021-12-11
"25 - 29",5,5,142,9,161,2021-12-11
"30 - 34",8,13,251,7,279,2021-12-11
"35 - 39",8,21,311,19,359,2021-12-11
"40 - 44",7,16,410,37,470,2021-12-11
"45 - 49",25,48,724,78,875,2021-12-11
"50 - 54",32,68,1187,167,1454,2021-12-11
"55 - 59",38,89,1596,295,2018,2021-12-11
"60 - 64",43,99,1708,548,2398,2021-12-11
"65 - 69",61,110,1658,845,2674,2021-12-11
"70 - 74",38,109,1454,1148,2749,2021-12-11
"75 - 79",27,53,740,806,1626,2021-12-11
"80 - 84",6,3,160,261,430,2021-12-11
"85 - 89",0,0,22,44,66,2021-12-11
">90",0,0,3,2,5,2021-12-11
