"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,7,56,2022-06-27
"20 - 24",4,1,108,0,113,2022-06-27
"25 - 29",4,0,183,12,199,2022-06-27
"30 - 34",4,1,317,13,335,2022-06-27
"35 - 39",4,2,397,26,429,2022-06-27
"40 - 44",5,1,503,49,558,2022-06-27
"45 - 49",6,2,888,91,987,2022-06-27
"50 - 54",10,4,1401,214,1629,2022-06-27
"55 - 59",22,6,1888,372,2288,2022-06-27
"60 - 64",13,10,2059,670,2752,2022-06-27
"65 - 69",25,7,2018,1010,3060,2022-06-27
"70 - 74",18,4,1755,1338,3115,2022-06-27
"75 - 79",19,3,943,944,1909,2022-06-27
"80 - 84",8,3,229,304,544,2022-06-27
"85 - 89",1,1,46,54,102,2022-06-27
">90",0,0,7,5,12,2022-06-27
