"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,28,4,34,2021-11-20
"20 - 24",4,4,64,0,72,2021-11-20
"25 - 29",5,5,132,8,150,2021-11-20
"30 - 34",4,11,227,7,249,2021-11-20
"35 - 39",8,13,279,19,319,2021-11-20
"40 - 44",11,17,379,33,440,2021-11-20
"45 - 49",13,19,691,73,796,2021-11-20
"50 - 54",32,35,1127,163,1357,2021-11-20
"55 - 59",25,48,1522,281,1876,2021-11-20
"60 - 64",23,84,1625,513,2245,2021-11-20
"65 - 69",22,84,1605,793,2504,2021-11-20
"70 - 74",23,72,1411,1085,2591,2021-11-20
"75 - 79",15,50,705,746,1516,2021-11-20
"80 - 84",7,3,155,250,415,2021-11-20
"85 - 89",1,2,20,42,65,2021-11-20
">90",0,0,3,2,5,2021-11-20
