"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,47,7,57,2022-07-21
"20 - 24",5,0,110,0,115,2022-07-21
"25 - 29",3,2,184,12,201,2022-07-21
"30 - 34",6,2,322,13,343,2022-07-21
"35 - 39",4,0,399,26,429,2022-07-21
"40 - 44",5,5,507,49,566,2022-07-21
"45 - 49",5,2,890,92,989,2022-07-21
"50 - 54",9,3,1406,215,1633,2022-07-21
"55 - 59",18,5,1901,374,2298,2022-07-21
"60 - 64",14,10,2072,674,2770,2022-07-21
"65 - 69",24,6,2033,1018,3081,2022-07-21
"70 - 74",24,9,1767,1339,3139,2022-07-21
"75 - 79",18,4,960,953,1935,2022-07-21
"80 - 84",8,2,239,310,559,2022-07-21
"85 - 89",0,0,48,54,102,2022-07-21
">90",0,0,8,5,13,2022-07-21
