"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,47,7,57,2022-07-18
"20 - 24",5,3,109,0,117,2022-07-18
"25 - 29",3,1,184,12,200,2022-07-18
"30 - 34",5,3,320,13,341,2022-07-18
"35 - 39",4,0,398,26,428,2022-07-18
"40 - 44",5,4,506,49,564,2022-07-18
"45 - 49",5,2,890,92,989,2022-07-18
"50 - 54",10,3,1405,215,1633,2022-07-18
"55 - 59",17,4,1899,374,2294,2022-07-18
"60 - 64",10,11,2070,673,2764,2022-07-18
"65 - 69",28,7,2027,1018,3080,2022-07-18
"70 - 74",27,7,1764,1339,3137,2022-07-18
"75 - 79",20,6,954,951,1931,2022-07-18
"80 - 84",6,3,239,310,558,2022-07-18
"85 - 89",0,0,48,54,102,2022-07-18
">90",0,0,7,5,12,2022-07-18
