"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,47,7,57,2022-07-22
"20 - 24",5,0,110,0,115,2022-07-22
"25 - 29",3,2,184,12,201,2022-07-22
"30 - 34",6,2,322,13,343,2022-07-22
"35 - 39",4,0,399,26,429,2022-07-22
"40 - 44",5,6,506,50,567,2022-07-22
"45 - 49",5,4,890,92,991,2022-07-22
"50 - 54",9,3,1406,215,1633,2022-07-22
"55 - 59",18,6,1902,374,2300,2022-07-22
"60 - 64",14,7,2073,674,2768,2022-07-22
"65 - 69",24,6,2033,1018,3081,2022-07-22
"70 - 74",24,9,1767,1339,3139,2022-07-22
"75 - 79",19,4,960,953,1936,2022-07-22
"80 - 84",8,1,239,310,558,2022-07-22
"85 - 89",0,1,48,54,103,2022-07-22
">90",0,0,8,5,13,2022-07-22
