"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-13
"20 - 24",5,1,106,0,112,2022-04-13
"25 - 29",4,1,176,11,192,2022-04-13
"30 - 34",7,2,310,12,331,2022-04-13
"35 - 39",3,0,394,26,423,2022-04-13
"40 - 44",7,7,491,47,552,2022-04-13
"45 - 49",8,4,875,92,979,2022-04-13
"50 - 54",16,7,1383,209,1615,2022-04-13
"55 - 59",23,13,1855,364,2255,2022-04-13
"60 - 64",21,14,2022,651,2708,2022-04-13
"65 - 69",32,17,1966,995,3010,2022-04-13
"70 - 74",29,16,1709,1314,3068,2022-04-13
"75 - 79",25,14,902,929,1870,2022-04-13
"80 - 84",8,7,210,294,519,2022-04-13
"85 - 89",3,1,39,50,93,2022-04-13
">90",2,1,4,4,11,2022-04-13
