"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,28,4,33,2021-11-14
"20 - 24",3,2,64,0,69,2021-11-14
"25 - 29",4,5,131,8,148,2021-11-14
"30 - 34",3,5,222,7,237,2021-11-14
"35 - 39",11,12,270,19,312,2021-11-14
"40 - 44",7,16,373,33,429,2021-11-14
"45 - 49",10,21,685,70,786,2021-11-14
"50 - 54",17,34,1119,163,1333,2021-11-14
"55 - 59",20,33,1516,278,1847,2021-11-14
"60 - 64",25,58,1613,504,2200,2021-11-14
"65 - 69",20,59,1595,783,2457,2021-11-14
"70 - 74",25,55,1396,1072,2548,2021-11-14
"75 - 79",10,47,701,735,1493,2021-11-14
"80 - 84",4,7,152,248,411,2021-11-14
"85 - 89",0,1,20,42,63,2021-11-14
">90",0,0,3,2,5,2021-11-14
