"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-09-20
"20 - 24",4,0,113,1,118,2022-09-20
"25 - 29",1,0,191,12,204,2022-09-20
"30 - 34",4,0,324,14,342,2022-09-20
"35 - 39",2,0,406,26,434,2022-09-20
"40 - 44",5,1,514,50,570,2022-09-20
"45 - 49",3,1,899,95,998,2022-09-20
"50 - 54",8,4,1422,220,1654,2022-09-20
"55 - 59",9,3,1926,382,2320,2022-09-20
"60 - 64",11,7,2091,681,2790,2022-09-20
"65 - 69",18,6,2060,1027,3111,2022-09-20
"70 - 74",11,3,1806,1348,3168,2022-09-20
"75 - 79",9,3,989,962,1963,2022-09-20
"80 - 84",8,1,250,315,574,2022-09-20
"85 - 89",2,2,53,56,113,2022-09-20
">90",0,0,10,7,17,2022-09-20
