"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,27,3,31,2021-10-24
"20 - 24",3,0,61,0,64,2021-10-24
"25 - 29",4,4,125,7,140,2021-10-24
"30 - 34",1,2,217,7,227,2021-10-24
"35 - 39",4,6,256,17,283,2021-10-24
"40 - 44",4,10,363,33,410,2021-10-24
"45 - 49",6,5,668,70,749,2021-10-24
"50 - 54",16,18,1097,160,1291,2021-10-24
"55 - 59",16,18,1489,274,1797,2021-10-24
"60 - 64",12,24,1586,488,2110,2021-10-24
"65 - 69",9,39,1564,758,2370,2021-10-24
"70 - 74",13,30,1380,1037,2460,2021-10-24
"75 - 79",9,19,685,718,1431,2021-10-24
"80 - 84",4,4,146,240,394,2021-10-24
"85 - 89",0,0,19,41,60,2021-10-24
">90",0,0,3,2,5,2021-10-24
