"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,62,8,71,2023-02-17
"20 - 24",2,0,120,2,124,2023-02-17
"25 - 29",0,0,198,13,211,2023-02-17
"30 - 34",2,0,334,14,350,2023-02-17
"35 - 39",3,0,422,27,452,2023-02-17
"40 - 44",0,1,533,54,588,2023-02-17
"45 - 49",2,2,918,97,1019,2023-02-17
"50 - 54",8,2,1457,229,1696,2023-02-17
"55 - 59",6,3,1976,395,2380,2023-02-17
"60 - 64",13,3,2165,695,2876,2023-02-17
"65 - 69",15,1,2146,1070,3232,2023-02-17
"70 - 74",14,11,1912,1394,3331,2023-02-17
"75 - 79",10,5,1076,1002,2093,2023-02-17
"80 - 84",8,3,312,338,661,2023-02-17
"85 - 89",5,2,67,70,144,2023-02-17
">90",0,0,16,9,25,2023-02-17
