"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-08-31
"20 - 24",4,0,55,0,59,2021-08-31
"25 - 29",5,4,110,7,126,2021-08-31
"30 - 34",5,12,180,6,203,2021-08-31
"35 - 39",9,8,224,15,256,2021-08-31
"40 - 44",3,11,331,29,374,2021-08-31
"45 - 49",9,12,630,67,718,2021-08-31
"50 - 54",16,30,1048,146,1240,2021-08-31
"55 - 59",10,28,1432,260,1730,2021-08-31
"60 - 64",17,36,1519,465,2037,2021-08-31
"65 - 69",15,33,1516,733,2297,2021-08-31
"70 - 74",16,16,1339,1010,2381,2021-08-31
"75 - 79",3,17,673,697,1390,2021-08-31
"80 - 84",2,3,141,229,375,2021-08-31
"85 - 89",1,1,18,38,58,2021-08-31
">90",0,0,3,2,5,2021-08-31
