"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,27,3,31,2021-10-25
"20 - 24",3,0,61,0,64,2021-10-25
"25 - 29",4,4,125,7,140,2021-10-25
"30 - 34",1,3,217,7,228,2021-10-25
"35 - 39",7,7,256,17,287,2021-10-25
"40 - 44",2,9,366,33,410,2021-10-25
"45 - 49",6,6,668,70,750,2021-10-25
"50 - 54",18,14,1097,161,1290,2021-10-25
"55 - 59",15,19,1490,274,1798,2021-10-25
"60 - 64",13,26,1586,489,2114,2021-10-25
"65 - 69",11,40,1565,759,2375,2021-10-25
"70 - 74",13,33,1380,1039,2465,2021-10-25
"75 - 79",7,23,687,719,1436,2021-10-25
"80 - 84",5,5,146,240,396,2021-10-25
"85 - 89",0,0,19,41,60,2021-10-25
">90",0,0,3,2,5,2021-10-25
