"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,64,8,74,2023-03-08
"20 - 24",3,1,122,2,128,2023-03-08
"25 - 29",0,1,199,13,213,2023-03-08
"30 - 34",2,0,334,14,350,2023-03-08
"35 - 39",3,0,424,28,455,2023-03-08
"40 - 44",1,1,536,55,593,2023-03-08
"45 - 49",4,1,919,99,1023,2023-03-08
"50 - 54",10,3,1459,232,1704,2023-03-08
"55 - 59",9,5,1978,397,2389,2023-03-08
"60 - 64",18,6,2170,696,2890,2023-03-08
"65 - 69",15,8,2153,1074,3250,2023-03-08
"70 - 74",21,15,1924,1400,3360,2023-03-08
"75 - 79",13,13,1086,1007,2119,2023-03-08
"80 - 84",11,5,316,345,677,2023-03-08
"85 - 89",5,2,73,75,155,2023-03-08
">90",1,1,17,10,29,2023-03-08
