"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-02-17
"20 - 24",7,3,87,0,97,2022-02-17
"25 - 29",2,4,166,11,183,2022-02-17
"30 - 34",6,1,292,11,310,2022-02-17
"35 - 39",8,1,375,23,407,2022-02-17
"40 - 44",8,9,466,42,525,2022-02-17
"45 - 49",15,9,841,87,952,2022-02-17
"50 - 54",29,11,1333,198,1571,2022-02-17
"55 - 59",41,15,1778,349,2183,2022-02-17
"60 - 64",34,33,1917,614,2598,2022-02-17
"65 - 69",40,36,1858,957,2891,2022-02-17
"70 - 74",36,24,1609,1262,2931,2022-02-17
"75 - 79",17,22,832,887,1758,2022-02-17
"80 - 84",5,5,183,277,470,2022-02-17
"85 - 89",2,0,29,48,79,2022-02-17
">90",0,0,4,3,7,2022-02-17
