"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-08-17
"20 - 24",4,0,113,1,118,2022-08-17
"25 - 29",1,0,190,12,203,2022-08-17
"30 - 34",5,0,325,14,344,2022-08-17
"35 - 39",3,0,405,26,434,2022-08-17
"40 - 44",5,2,511,50,568,2022-08-17
"45 - 49",4,1,896,94,995,2022-08-17
"50 - 54",6,4,1415,218,1643,2022-08-17
"55 - 59",14,4,1915,379,2312,2022-08-17
"60 - 64",11,10,2086,680,2787,2022-08-17
"65 - 69",17,7,2056,1021,3101,2022-08-17
"70 - 74",22,8,1787,1342,3159,2022-08-17
"75 - 79",16,7,980,957,1960,2022-08-17
"80 - 84",8,3,246,311,568,2022-08-17
"85 - 89",0,1,49,55,105,2022-08-17
">90",0,0,9,6,15,2022-08-17
