"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,37,5,45,2022-01-24
"20 - 24",2,2,80,0,84,2022-01-24
"25 - 29",4,3,159,10,176,2022-01-24
"30 - 34",3,3,289,11,306,2022-01-24
"35 - 39",7,5,360,21,393,2022-01-24
"40 - 44",4,9,457,40,510,2022-01-24
"45 - 49",19,19,808,86,932,2022-01-24
"50 - 54",30,30,1301,189,1550,2022-01-24
"55 - 59",35,35,1736,337,2143,2022-01-24
"60 - 64",37,49,1880,599,2565,2022-01-24
"65 - 69",44,44,1817,931,2836,2022-01-24
"70 - 74",25,46,1575,1243,2889,2022-01-24
"75 - 79",23,18,806,872,1719,2022-01-24
"80 - 84",6,4,176,272,458,2022-01-24
"85 - 89",0,0,27,46,73,2022-01-24
">90",1,0,3,3,7,2022-01-24
