"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,27,3,31,2021-10-27
"20 - 24",3,0,61,0,64,2021-10-27
"25 - 29",4,4,126,7,141,2021-10-27
"30 - 34",2,2,217,7,228,2021-10-27
"35 - 39",4,6,260,17,287,2021-10-27
"40 - 44",2,10,367,33,412,2021-10-27
"45 - 49",5,8,669,70,752,2021-10-27
"50 - 54",14,16,1103,162,1295,2021-10-27
"55 - 59",19,20,1490,274,1803,2021-10-27
"60 - 64",17,26,1587,491,2121,2021-10-27
"65 - 69",13,42,1567,761,2383,2021-10-27
"70 - 74",10,38,1382,1040,2470,2021-10-27
"75 - 79",9,22,687,721,1439,2021-10-27
"80 - 84",6,2,146,240,394,2021-10-27
"85 - 89",0,0,19,41,60,2021-10-27
">90",0,0,3,2,5,2021-10-27
