"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-06
"20 - 24",4,0,60,0,64,2021-10-06
"25 - 29",5,5,118,7,135,2021-10-06
"30 - 34",2,3,212,7,224,2021-10-06
"35 - 39",7,8,244,17,276,2021-10-06
"40 - 44",10,9,347,32,398,2021-10-06
"45 - 49",8,6,657,69,740,2021-10-06
"50 - 54",20,17,1082,155,1274,2021-10-06
"55 - 59",19,11,1470,272,1772,2021-10-06
"60 - 64",23,18,1561,479,2081,2021-10-06
"65 - 69",13,22,1552,748,2335,2021-10-06
"70 - 74",12,25,1370,1024,2431,2021-10-06
"75 - 79",9,9,678,715,1411,2021-10-06
"80 - 84",2,2,144,234,382,2021-10-06
"85 - 89",0,0,19,40,59,2021-10-06
">90",0,0,3,2,5,2021-10-06
