"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,22,3,27,2021-08-08
"20 - 24",6,3,49,0,58,2021-08-08
"25 - 29",3,5,100,7,115,2021-08-08
"30 - 34",4,6,170,6,186,2021-08-08
"35 - 39",3,12,207,14,236,2021-08-08
"40 - 44",6,9,313,27,355,2021-08-08
"45 - 49",14,18,595,65,692,2021-08-08
"50 - 54",23,25,1011,142,1201,2021-08-08
"55 - 59",10,23,1401,256,1690,2021-08-08
"60 - 64",15,30,1492,453,1990,2021-08-08
"65 - 69",11,33,1494,721,2259,2021-08-08
"70 - 74",13,20,1321,994,2348,2021-08-08
"75 - 79",7,20,657,689,1373,2021-08-08
"80 - 84",2,1,138,227,368,2021-08-08
"85 - 89",1,0,17,38,56,2021-08-08
">90",0,0,3,2,5,2021-08-08
