"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,62,8,72,2023-02-28
"20 - 24",2,1,121,2,126,2023-02-28
"25 - 29",0,0,198,13,211,2023-02-28
"30 - 34",2,0,334,14,350,2023-02-28
"35 - 39",2,2,423,27,454,2023-02-28
"40 - 44",1,1,534,54,590,2023-02-28
"45 - 49",3,1,918,98,1020,2023-02-28
"50 - 54",11,3,1457,230,1701,2023-02-28
"55 - 59",6,5,1977,397,2385,2023-02-28
"60 - 64",13,5,2168,696,2882,2023-02-28
"65 - 69",15,4,2151,1073,3243,2023-02-28
"70 - 74",13,11,1919,1398,3341,2023-02-28
"75 - 79",12,8,1081,1006,2107,2023-02-28
"80 - 84",9,3,313,340,665,2023-02-28
"85 - 89",3,0,73,74,150,2023-02-28
">90",0,1,17,9,27,2023-02-28
