"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,26,3,29,2021-09-21
"20 - 24",5,0,58,0,63,2021-09-21
"25 - 29",3,4,117,7,131,2021-09-21
"30 - 34",4,8,203,7,222,2021-09-21
"35 - 39",3,10,240,15,268,2021-09-21
"40 - 44",3,12,344,30,389,2021-09-21
"45 - 49",9,10,646,69,734,2021-09-21
"50 - 54",13,32,1070,151,1266,2021-09-21
"55 - 59",12,27,1453,267,1759,2021-09-21
"60 - 64",18,30,1547,472,2067,2021-09-21
"65 - 69",15,29,1538,743,2325,2021-09-21
"70 - 74",11,22,1358,1019,2410,2021-09-21
"75 - 79",4,11,675,711,1401,2021-09-21
"80 - 84",2,1,143,232,378,2021-09-21
"85 - 89",0,0,19,40,59,2021-09-21
">90",0,0,3,2,5,2021-09-21
