"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,28,4,36,2021-11-28
"20 - 24",4,5,66,0,75,2021-11-28
"25 - 29",8,4,134,8,154,2021-11-28
"30 - 34",9,12,233,7,261,2021-11-28
"35 - 39",11,15,289,19,334,2021-11-28
"40 - 44",14,14,389,34,451,2021-11-28
"45 - 49",15,30,700,74,819,2021-11-28
"50 - 54",31,48,1143,164,1386,2021-11-28
"55 - 59",38,64,1538,286,1926,2021-11-28
"60 - 64",41,98,1643,524,2306,2021-11-28
"65 - 69",31,102,1626,814,2573,2021-11-28
"70 - 74",24,94,1426,1104,2648,2021-11-28
"75 - 79",25,51,712,767,1555,2021-11-28
"80 - 84",9,4,157,254,424,2021-11-28
"85 - 89",1,0,20,44,65,2021-11-28
">90",0,0,3,2,5,2021-11-28
