"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,61,8,70,2023-01-02
"20 - 24",4,0,118,2,124,2023-01-02
"25 - 29",1,0,195,13,209,2023-01-02
"30 - 34",4,2,330,14,350,2023-01-02
"35 - 39",5,1,417,26,449,2023-01-02
"40 - 44",2,3,527,53,585,2023-01-02
"45 - 49",3,1,913,97,1014,2023-01-02
"50 - 54",13,1,1445,226,1685,2023-01-02
"55 - 59",14,6,1957,392,2369,2023-01-02
"60 - 64",17,10,2141,690,2858,2023-01-02
"65 - 69",18,6,2118,1055,3197,2023-01-02
"70 - 74",18,12,1872,1380,3282,2023-01-02
"75 - 79",16,15,1044,993,2068,2023-01-02
"80 - 84",11,1,293,333,638,2023-01-02
"85 - 89",5,1,62,63,131,2023-01-02
">90",0,0,15,9,24,2023-01-02
