"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,28,4,35,2021-11-25
"20 - 24",5,4,65,0,74,2021-11-25
"25 - 29",7,5,133,8,153,2021-11-25
"30 - 34",10,7,230,7,254,2021-11-25
"35 - 39",8,15,287,20,330,2021-11-25
"40 - 44",9,18,388,33,448,2021-11-25
"45 - 49",11,26,698,73,808,2021-11-25
"50 - 54",34,38,1138,164,1374,2021-11-25
"55 - 59",30,60,1535,283,1908,2021-11-25
"60 - 64",31,95,1639,521,2286,2021-11-25
"65 - 69",30,104,1615,802,2551,2021-11-25
"70 - 74",21,94,1419,1099,2633,2021-11-25
"75 - 79",21,53,708,762,1544,2021-11-25
"80 - 84",8,4,156,253,421,2021-11-25
"85 - 89",1,2,20,42,65,2021-11-25
">90",0,0,3,2,5,2021-11-25
