"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,23,3,27,2021-08-15
"20 - 24",3,3,53,0,59,2021-08-15
"25 - 29",6,6,102,7,121,2021-08-15
"30 - 34",5,4,173,6,188,2021-08-15
"35 - 39",8,9,210,14,241,2021-08-15
"40 - 44",10,6,318,27,361,2021-08-15
"45 - 49",9,16,612,66,703,2021-08-15
"50 - 54",17,26,1023,145,1211,2021-08-15
"55 - 59",13,20,1409,256,1698,2021-08-15
"60 - 64",13,24,1505,458,2000,2021-08-15
"65 - 69",7,39,1501,726,2273,2021-08-15
"70 - 74",11,29,1327,1000,2367,2021-08-15
"75 - 79",8,16,661,691,1376,2021-08-15
"80 - 84",1,1,140,227,369,2021-08-15
"85 - 89",1,0,17,38,56,2021-08-15
">90",0,0,3,2,5,2021-08-15
