"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,43,6,50,2022-03-21
"20 - 24",4,3,100,0,107,2022-03-21
"25 - 29",4,1,174,11,190,2022-03-21
"30 - 34",6,1,305,11,323,2022-03-21
"35 - 39",4,1,388,25,418,2022-03-21
"40 - 44",6,8,480,45,539,2022-03-21
"45 - 49",12,9,860,89,970,2022-03-21
"50 - 54",20,10,1363,205,1598,2022-03-21
"55 - 59",24,15,1830,358,2227,2022-03-21
"60 - 64",26,23,1979,637,2665,2022-03-21
"65 - 69",38,22,1921,985,2966,2022-03-21
"70 - 74",33,34,1664,1286,3017,2022-03-21
"75 - 79",20,19,866,913,1818,2022-03-21
"80 - 84",5,4,198,286,493,2022-03-21
"85 - 89",0,1,32,49,82,2022-03-21
">90",1,0,3,3,7,2022-03-21
