"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,23,3,27,2021-08-20
"20 - 24",4,2,53,0,59,2021-08-20
"25 - 29",4,5,107,7,123,2021-08-20
"30 - 34",1,8,177,6,192,2021-08-20
"35 - 39",10,7,214,15,246,2021-08-20
"40 - 44",4,10,325,27,366,2021-08-20
"45 - 49",10,13,618,67,708,2021-08-20
"50 - 54",14,30,1031,145,1220,2021-08-20
"55 - 59",15,22,1416,256,1709,2021-08-20
"60 - 64",12,29,1511,459,2011,2021-08-20
"65 - 69",12,38,1504,729,2283,2021-08-20
"70 - 74",13,25,1331,1001,2370,2021-08-20
"75 - 79",7,18,665,691,1381,2021-08-20
"80 - 84",0,1,141,228,370,2021-08-20
"85 - 89",0,1,18,38,57,2021-08-20
">90",0,0,3,2,5,2021-08-20
