"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,37,5,46,2022-01-30
"20 - 24",3,2,82,0,87,2022-01-30
"25 - 29",4,3,160,10,177,2022-01-30
"30 - 34",3,3,289,11,306,2022-01-30
"35 - 39",10,7,363,21,401,2022-01-30
"40 - 44",5,8,458,40,511,2022-01-30
"45 - 49",22,15,814,87,938,2022-01-30
"50 - 54",32,24,1309,191,1556,2022-01-30
"55 - 59",35,28,1746,341,2150,2022-01-30
"60 - 64",33,36,1896,607,2572,2022-01-30
"65 - 69",42,35,1829,937,2843,2022-01-30
"70 - 74",27,43,1581,1249,2900,2022-01-30
"75 - 79",22,19,814,873,1728,2022-01-30
"80 - 84",8,2,177,273,460,2022-01-30
"85 - 89",0,1,27,47,75,2022-01-30
">90",0,0,4,3,7,2022-01-30
