"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,64,8,74,2023-03-09
"20 - 24",2,1,123,2,128,2023-03-09
"25 - 29",0,2,199,13,214,2023-03-09
"30 - 34",2,0,334,14,350,2023-03-09
"35 - 39",3,0,424,28,455,2023-03-09
"40 - 44",1,0,536,55,592,2023-03-09
"45 - 49",4,1,919,98,1022,2023-03-09
"50 - 54",11,3,1459,232,1705,2023-03-09
"55 - 59",9,7,1979,397,2392,2023-03-09
"60 - 64",16,6,2173,697,2892,2023-03-09
"65 - 69",15,10,2152,1074,3251,2023-03-09
"70 - 74",20,15,1927,1400,3362,2023-03-09
"75 - 79",15,9,1086,1009,2119,2023-03-09
"80 - 84",10,4,318,345,677,2023-03-09
"85 - 89",5,1,74,75,155,2023-03-09
">90",2,0,17,10,29,2023-03-09
