"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,21,3,25,2021-07-24
"20 - 24",4,0,48,0,52,2021-07-24
"25 - 29",3,2,94,6,105,2021-07-24
"30 - 34",3,1,167,6,177,2021-07-24
"35 - 39",0,9,196,14,219,2021-07-24
"40 - 44",3,9,300,27,339,2021-07-24
"45 - 49",4,15,584,65,668,2021-07-24
"50 - 54",16,16,999,142,1173,2021-07-24
"55 - 59",11,10,1384,252,1657,2021-07-24
"60 - 64",11,14,1482,454,1961,2021-07-24
"65 - 69",7,20,1486,719,2232,2021-07-24
"70 - 74",10,16,1321,993,2340,2021-07-24
"75 - 79",8,2,656,686,1352,2021-07-24
"80 - 84",1,0,139,228,368,2021-07-24
"85 - 89",0,1,17,37,55,2021-07-24
">90",0,0,4,2,6,2021-07-24
