"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,56,7,65,2022-11-30
"20 - 24",4,0,116,3,123,2022-11-30
"25 - 29",2,0,194,13,209,2022-11-30
"30 - 34",3,0,330,14,347,2022-11-30
"35 - 39",4,1,413,26,444,2022-11-30
"40 - 44",2,0,527,52,581,2022-11-30
"45 - 49",4,0,907,98,1009,2022-11-30
"50 - 54",9,4,1440,221,1674,2022-11-30
"55 - 59",11,5,1945,388,2349,2022-11-30
"60 - 64",13,3,2125,688,2829,2022-11-30
"65 - 69",21,3,2098,1048,3170,2022-11-30
"70 - 74",19,8,1850,1373,3250,2022-11-30
"75 - 79",16,5,1025,982,2028,2022-11-30
"80 - 84",12,1,276,325,614,2022-11-30
"85 - 89",3,2,60,62,127,2022-11-30
">90",1,0,13,9,23,2022-11-30
