"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-02-19
"20 - 24",8,1,88,0,97,2022-02-19
"25 - 29",3,3,166,11,183,2022-02-19
"30 - 34",6,2,292,11,311,2022-02-19
"35 - 39",8,3,376,23,410,2022-02-19
"40 - 44",10,7,466,42,525,2022-02-19
"45 - 49",13,9,844,87,953,2022-02-19
"50 - 54",23,11,1339,198,1571,2022-02-19
"55 - 59",40,18,1783,349,2190,2022-02-19
"60 - 64",35,30,1920,615,2600,2022-02-19
"65 - 69",41,33,1859,957,2890,2022-02-19
"70 - 74",36,23,1613,1263,2935,2022-02-19
"75 - 79",17,22,834,890,1763,2022-02-19
"80 - 84",7,6,183,277,473,2022-02-19
"85 - 89",2,0,29,48,79,2022-02-19
">90",0,0,4,3,7,2022-02-19
