"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-19
"20 - 24",3,0,61,0,64,2021-10-19
"25 - 29",7,3,121,7,138,2021-10-19
"30 - 34",2,2,216,7,227,2021-10-19
"35 - 39",3,7,255,17,282,2021-10-19
"40 - 44",7,7,359,33,406,2021-10-19
"45 - 49",7,4,664,70,745,2021-10-19
"50 - 54",12,17,1096,160,1285,2021-10-19
"55 - 59",13,16,1486,274,1789,2021-10-19
"60 - 64",14,21,1580,484,2099,2021-10-19
"65 - 69",11,30,1562,756,2359,2021-10-19
"70 - 74",11,26,1378,1035,2450,2021-10-19
"75 - 79",8,15,683,717,1423,2021-10-19
"80 - 84",3,3,146,239,391,2021-10-19
"85 - 89",0,0,19,41,60,2021-10-19
">90",0,0,3,2,5,2021-10-19
