"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,62,8,70,2023-01-05
"20 - 24",2,0,120,2,124,2023-01-05
"25 - 29",0,0,196,13,209,2023-01-05
"30 - 34",2,1,332,14,349,2023-01-05
"35 - 39",4,1,418,26,449,2023-01-05
"40 - 44",1,2,529,53,585,2023-01-05
"45 - 49",4,0,914,97,1015,2023-01-05
"50 - 54",8,2,1450,226,1686,2023-01-05
"55 - 59",8,7,1963,392,2370,2023-01-05
"60 - 64",12,8,2149,690,2859,2023-01-05
"65 - 69",10,14,2127,1056,3207,2023-01-05
"70 - 74",10,15,1884,1383,3292,2023-01-05
"75 - 79",16,11,1048,994,2069,2023-01-05
"80 - 84",7,1,297,335,640,2023-01-05
"85 - 89",2,2,64,64,132,2023-01-05
">90",0,0,15,9,24,2023-01-05
