"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,46,7,57,2022-07-14
"20 - 24",5,2,109,0,116,2022-07-14
"25 - 29",3,1,184,12,200,2022-07-14
"30 - 34",4,2,320,13,339,2022-07-14
"35 - 39",4,0,398,26,428,2022-07-14
"40 - 44",4,3,506,49,562,2022-07-14
"45 - 49",6,3,890,91,990,2022-07-14
"50 - 54",8,5,1405,215,1633,2022-07-14
"55 - 59",16,7,1899,373,2295,2022-07-14
"60 - 64",9,11,2068,673,2761,2022-07-14
"65 - 69",27,8,2026,1018,3079,2022-07-14
"70 - 74",25,7,1763,1339,3134,2022-07-14
"75 - 79",20,7,953,949,1929,2022-07-14
"80 - 84",8,3,236,309,556,2022-07-14
"85 - 89",0,0,48,54,102,2022-07-14
">90",0,0,7,5,12,2022-07-14
