"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,21,3,26,2021-08-01
"20 - 24",3,1,49,0,53,2021-08-01
"25 - 29",3,2,98,7,110,2021-08-01
"30 - 34",1,3,170,6,180,2021-08-01
"35 - 39",5,10,201,14,230,2021-08-01
"40 - 44",9,9,305,27,350,2021-08-01
"45 - 49",11,15,588,65,679,2021-08-01
"50 - 54",21,22,1002,142,1187,2021-08-01
"55 - 59",8,22,1391,253,1674,2021-08-01
"60 - 64",10,25,1486,453,1974,2021-08-01
"65 - 69",7,32,1490,721,2250,2021-08-01
"70 - 74",10,17,1320,993,2340,2021-08-01
"75 - 79",9,9,654,688,1360,2021-08-01
"80 - 84",2,1,136,227,366,2021-08-01
"85 - 89",1,1,17,37,56,2021-08-01
">90",0,0,3,2,5,2021-08-01
