"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,57,7,67,2022-12-08
"20 - 24",4,0,117,2,123,2022-12-08
"25 - 29",2,0,194,13,209,2022-12-08
"30 - 34",3,0,330,14,347,2022-12-08
"35 - 39",3,2,414,26,445,2022-12-08
"40 - 44",2,1,527,52,582,2022-12-08
"45 - 49",3,1,910,98,1012,2022-12-08
"50 - 54",10,2,1440,223,1675,2022-12-08
"55 - 59",13,5,1946,389,2353,2022-12-08
"60 - 64",11,3,2130,688,2832,2022-12-08
"65 - 69",19,7,2103,1049,3178,2022-12-08
"70 - 74",14,10,1857,1376,3257,2022-12-08
"75 - 79",17,4,1031,983,2035,2022-12-08
"80 - 84",11,2,280,326,619,2022-12-08
"85 - 89",4,0,61,62,127,2022-12-08
">90",0,2,14,9,25,2022-12-08
