"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-08-27
"20 - 24",5,0,54,0,59,2021-08-27
"25 - 29",5,4,108,7,124,2021-08-27
"30 - 34",2,10,180,6,198,2021-08-27
"35 - 39",5,10,224,15,254,2021-08-27
"40 - 44",2,13,330,28,373,2021-08-27
"45 - 49",12,10,626,67,715,2021-08-27
"50 - 54",17,31,1040,145,1233,2021-08-27
"55 - 59",9,28,1429,260,1726,2021-08-27
"60 - 64",12,34,1517,463,2026,2021-08-27
"65 - 69",18,34,1510,732,2294,2021-08-27
"70 - 74",16,19,1336,1005,2376,2021-08-27
"75 - 79",5,18,670,695,1388,2021-08-27
"80 - 84",1,2,141,229,373,2021-08-27
"85 - 89",0,1,18,38,57,2021-08-27
">90",0,0,3,2,5,2021-08-27
